time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.7340799602436705e-07,8.997524591281392e-07,10.06997712035905,0.00021307347650800779,6.283125477344129,0.0,1.8360256928111453e-05,7.949009877215225e-05,2.330928816916872,0.009846613699457371,-0.0030703751702000357,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.12000000000000001,9.638591305614764e-06,3.417535431769262e-05,10.279137100621968,0.0009345334118835424,6.282867116458316,0.0,0.00039059085458331493,0.0013094518899883119,4.634777987572012,0.016058464560720773,-0.006899829028843032,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.18,6.672977146810464e-05,0.00020965381700338142,10.624944753016221,0.00231574716129046,6.2824566336928385,0.0,0.0016807273814098524,0.005029500724627833,6.881505519515878,0.03420060043918433,-0.006724723899615604,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.23999999999999996,0.00023372770881224494,0.000736472070138143,11.103125924708435,0.004755253394481684,6.282172198357742,0.0,0.004012725732937545,0.013411324798757205,9.043404655092628,0.05117182066067202,-0.0010410433822033748,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.3,0.0005559012155334063,0.001965548779648375,11.707830378723,0.007940225197045514,6.282201934376861,0.0,0.006714249719998492,0.028680038915452497,11.095819663175666,0.05665344682753014,0.003404668559765466,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.36000000000000004,0.0010303461014488308,0.0043371123575981115,12.431896878389757,0.011500959606124184,6.282499408819769,0.0,0.008988671500486994,0.05148678710840644,13.019804198818505,0.0642474545609484,0.007896622105775887,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.4200000000000001,0.0016128788162217127,0.00830297872012917,13.267264220639536,0.015506206940337108,6.282916150457456,0.0,0.010260755487579709,0.08181478394940458,14.804303038811755,0.07134560708882401,0.004972359410031152,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.48000000000000015,0.0022429797197817936,0.014309258373834136,14.205320109282846,0.01972397298004136,4.66538571757269e-05,0.0,0.010637572957222464,0.11941632208575553,16.441977702918038,0.06811086973538766,0.005839616896723469,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.5400000000000001,0.0028733544038322496,0.022760712022821355,15.237137267123321,0.023647108941577066,0.0006915445565773837,0.0,0.010222107396363265,0.16305775332094088,17.929598283624774,0.05928887669809933,0.019100608093698665,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.6000000000000002,0.003433556552301713,0.0339601258410875,16.353665053050236,0.027009297890634443,0.0020419920103407208,0.0,0.008116910839994705,0.21070003036683746,19.26620511618662,0.0485779338972233,0.02857327114177417,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.6600000000000003,0.0037932556793346555,0.048086125728981424,17.546011828453558,0.02978830511352548,0.0037755712312508294,0.0,0.003471782811959179,0.26033201151050367,20.457877424529812,0.041361653521876665,0.029524825677974063,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.7200000000000003,0.0037969911172820855,0.06520982354862451,18.8057196791273,0.03205875158542515,0.005320741081439984,0.0,-0.0036712263244367467,0.3104381180982986,21.512868607209725,0.029658923763441074,0.0168759232237622,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.7800000000000004,0.0033227458468662956,0.08532173463911576,20.12488697251524,0.03362783497229849,0.006187845635547973,0.0,-0.012248686701658393,0.35974710436251195,22.441346214198305,0.018004878810074808,0.009099100874188809,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.8400000000000004,0.0023196581541214383,0.1083392895925833,21.496245178197917,0.034438893263174286,0.006688774584945101,0.0,-0.021192218232156494,0.40714668564159917,23.25415259666237,0.002552684548638106,0.006804188885570473,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.9000000000000005,0.0007815107150424587,0.13411713796962776,22.913140334212287,0.034201578290976364,0.006767408607531777,0.0,-0.030032068798654443,0.45160966792496726,23.960886664793026,-0.02199474858440658,-0.012921136509920904,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
0.9600000000000005,-0.0012625787011870658,0.16244593197425197,24.369557283939084,0.03250811302600809,0.005613075521295308,0.0,-0.037854015524389155,0.4919854846022866,24.573141431449198,-0.04515099021217325,-0.03651223955010692,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
1.0200000000000005,-0.0037110213634892406,0.19304760217367645,25.860190795631325,0.029355595212560814,0.0030647554753731043,0.0,-0.04331578740720309,0.5272362631447899,25.102932112518832,-0.07449225061553304,-0.05836986972832553,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
1.0800000000000005,-0.006386789924044639,0.22558382895838236,27.380357789176216,0.024647292019336575,6.28243663116091,0.0,-0.04529521312869478,0.5563186109370577,25.559017953969537,-0.08793105224665461,-0.07673896972049586,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
1.1400000000000006,-0.009057606244965506,0.2596658979403466,28.925922484476025,0.01919542467172075,6.2776009593370965,0.0,-0.043074029511874945,0.5787682232784924,25.950839114778045,-0.09748850047088774,-0.08970120697765632,0.0,459.8705489884677,461.2957981387726,460.8477986702197,459.3265451049409
