time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,x_accel,y_accel,z_accel,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.4256,441.56485,441.55832,441.68088,0
0.06,-2.8239966013429955e-08,2.4666184201953886e-08,0.003442880323571811,3.0091394737752353e-05,3.4237190189578826e-05,0.0,-2.7497649364271966e-06,2.4090849816788287e-06,0.11475728324644861,-0.00013563245519846486,0.00011901591312102746,1.9123952671402868,0.001486248516186596,0.0016882067834837334,0.0,441.44257,441.5751,441.57355,441.69647,-14.998393319868844
0.12000000000000001,-1.3382226320848097e-06,1.1773337964238268e-06,0.013770677066675997,0.00014945742642513693,0.0001681039005889673,0.0,-5.318886334114366e-05,4.689596817393724e-05,0.22948577285058847,-0.001321794443352035,0.0011689638240196408,1.9114863578454289,0.002977350037066272,0.0032954715476198504,0.0,441.00946,441.12744,441.13635,441.2503,-14.991164796820357
0.18,-8.86330214084497e-06,7.856998295833215e-06,0.03093584268976393,0.0003560396139867805,0.000394765212869963,0.0,-0.00021971922109100564,0.00019579514303229422,0.34265856577989945,-0.003621758336777036,0.003250910653086518,1.885145752839241,0.0043585675577002695,0.004725144848519953,0.0,440.75037,440.84598,440.8769,440.9683,-14.977769514719242
0.23999999999999996,-3.146759137228564e-05,2.8125281106520225e-05,0.05485913785552746,0.0006399085022943396,0.000701662223415056,0.0,-0.000564393296353258,0.0005081144572849701,0.45474601349880195,-0.00690839596394227,0.006280895072662638,1.866654264684432,0.005466123580453594,0.005883416519417623,0.0,440.35596,440.43777,440.49203,440.56577,-14.958290264340677
0.3,-8.143580226808983e-05,7.332257161498092e-05,0.08546120155733826,0.0009858680191641156,0.0010746414542923688,0.0,-0.0011387787879944683,0.0010333327987827854,0.5652739682014091,-0.010994513594592754,0.010072773806009743,1.8402803489057602,0.006359107519293562,0.0068739757360319126,0.0,439.9626,440.0308,440.1246,440.17044,-14.932813989533408
0.36000000000000004,-0.00017386344969639247,0.00015744148483315968,0.12264709941732312,0.0013785698429913396,0.0015036996086097432,0.0,-0.0019855564701809526,0.0018105723892112035,0.67419739902211,-0.015751506825303196,0.014458849535316268,1.8131732938220213,0.006914319663721126,0.007699295331850185,0.0,439.12335,439.1769,439.3334,439.33545,-14.901447792659678
0.4200000000000001,-0.0003261204027156129,0.00029640051201729845,0.16627692150350964,0.0017939485717439752,0.0019786702317290406,0.0,-0.003137765697239167,0.002864002507776686,0.7800630991348786,-0.02101503713406403,0.019155131174509035,1.7618995695514303,0.006940292036593288,0.008346459373234964,0.0,438.15637,438.19803,438.41724,438.38,-14.864327264927368
0.48000000000000015,-0.0005573368938521679,0.0005070229394466828,0.21615391376309664,0.002201462526028486,0.0024895512732490133,0.0,-0.004621074698260368,0.004198774318808937,0.8824292379295223,-0.02666395409886116,0.0238164126633503,1.7033062666994547,0.006493440512214806,0.008849033699772428,0.0,436.95453,436.9864,437.2624,437.19055,-14.821648141943529
0.5400000000000001,-0.000887925430188872,0.0008057795154541016,0.2720446873711664,0.002573969885911964,0.003028191325746832,0.0,-0.006452738871432654,0.00579836369286714,0.9805169047716951,-0.03256473375478193,0.028095661416616704,1.6317911445179993,0.005632286495441501,0.009232711377716685,0.0,435.7049,435.72192,436.05463,435.95972,-14.773641171241273
